"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Sections","4","0","","0"
"0","","0","Test Runs API","4","0","","0"
"0","","0","Attachments","6","0","","0"
"0","","0","Projects API","3","0","","0"
"0","","0","Test Cases API","4","0","","0"
"0","","0","API Authentication","2","0","","0"
"0","","0","Authentication","1","0","","0"
"0","","1","Test Suites","0","0","","0"
"0","","1","Test Runs","0","0","","0"
"0","","1","Project Management","0","0","","0"
"0","","1","Test Cases","0","0","","0"
