"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Close test run","33226","Close test run","UI Regression tests","2026-07-19","passed","2026-07-19","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","closeRunTest"
"Verify the projects list can be retrieved","1696","Verify the projects list can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Projects API functionality tests","API Tests","tests.api.ProjectAPITest","getProjects"
"Compare results of two runs","44285","Compare results of two runs","UI Regression tests","2026-07-19","passed","2026-07-19","Reports functionality tests","UI Tests","tests.ui.ReportTest","compareRunsTest"
"Login with invalid credentials shows error","5341","Login with invalid credentials shows error","UI Regression tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Delete test suite","23323","Delete test suite","UI Regression tests","2026-07-19","passed","2026-07-19","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","deleteSuiteTest"
"Add passed result to a test","34414","Add passed result to a test","UI Regression tests","2026-07-19","passed","2026-07-19","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","addPassedResultTest"
"Verify a section can be moved into another section","3354","Verify a section can be moved into another section","API regression tests","2026-07-19","passed","2026-07-19","Sections functionality tests","API Tests","tests.api.SectionAPITest","moveSection"
"Verify an attachment can be added to a test case","3829","Verify an attachment can be added to a test case","API regression tests","2026-07-19","passed","2026-07-19","Attachments functionality tests","API Tests","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Create a new test case","13017","Create a new test case","UI Smoke tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","Smoke Tests","tests.ui.TestCaseTest","testCaseCreationTest"
"Deactivate user","20261","Verify user can be deactivated","UI Regression tests","2026-07-19","failed","2026-07-19","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","deactivateUserTest"
"Delete role","13424","Verify role can be deleted","UI Regression tests","2026-07-19","passed","2026-07-19","Role management functionality tests","UI Tests","tests.ui.RolesTest","deleteRole"
"Verify created sections can be deleted","3392","Verify created sections can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Sections functionality tests","API Tests","tests.api.SectionAPITest","deleteSections"
"Suite shows test cases count","22443","Suite shows test cases count","UI Regression tests","2026-07-19","passed","2026-07-19","Test suites functionality tests","UI Tests","tests.ui.TestSuiteTest","suiteShowsCasesCountTest"
"Create and then delete a test case","16795","Create and then delete a test case","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","testCaseCreationAndDeletionTest"
"Change language","13700","Verify language can be changed","UI Regression tests","2026-07-19","passed","2026-07-19","Settings functionality tests","UI Tests","tests.ui.SettingsTest","changeLanguage"
"Login with valid credentials","7751","Login with valid credentials","UI Smoke tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","Smoke Tests","tests.ui.LoginTest","loginTest"
"Move test case to another section via edit form","15057","Move test case to another section via edit form","UI Regression tests","2026-07-19","passed","2026-07-19","Test cases functionality tests","UI Tests","tests.ui.TestCaseTest","moveTestCaseToSectionTest"
"Update user group","13914","Verify group can be updated","UI Regression tests","2026-07-19","passed","2026-07-19","Group management functionality tests","UI Tests","tests.ui.GroupTest","updateGroupTest"
"Verify project test cases can be retrieved","1078","Verify project test cases can be retrieved","API regression tests","2026-07-19","passed","2026-07-19","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","getTestCases"
"View test run statistics","36218","View test run statistics","UI Regression tests","2026-07-19","passed","2026-07-19","Reports functionality tests","UI Tests","tests.ui.ReportTest","viewRunStatisticsTest"
"Create a new project","12378","Create a new project","UI Smoke tests","2026-07-19","passed","2026-07-19","Project management functionality tests","Smoke Tests","tests.ui.ProjectsTest","createProjectTest"
"Complete milestone","29833","Verify milestone can be completed","UI Regression tests","2026-07-19","passed","2026-07-19","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","completeMilestoneTest"
"Update user's name","11346","Verify user's name can be updated","UI Regression tests","2026-07-19","passed","2026-07-19","Settings functionality tests","UI Tests","tests.ui.SettingsTest","updateUsersName"
"Delete user group","13073","Verify group can be deleted","UI Regression tests","2026-07-19","passed","2026-07-19","Group management functionality tests","UI Tests","tests.ui.GroupTest","deleteGroupTest"
"Delete milestone","24203","Verify milestone can be deleted","UI Regression tests","2026-07-19","passed","2026-07-19","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","deleteMilestoneTest"
"Update user data","14527","Verify user data can be updated","UI Regression tests","2026-07-19","passed","2026-07-19","User management functionality tests","UI Tests","tests.ui.UserNRolesTest","updateUserDataTest"
"Verify a test case can be created","2435","Verify a test case can be created","API regression tests","2026-07-19","passed","2026-07-19","Test cases API functionality tests","API Tests","tests.api.TestCaseAPITest","createTestCase"
