"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify a test case can be created","1613","Verify a test case can be created","Surefire suite","2026-07-18","passed","2026-07-18","Test cases API functionality tests","Test cases API functionality tests","tests.api.TestCaseAPITest","createTestCase"
"Verify a result can be added to a test run","809","Verify a result can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","Test runs API functionality tests","Test runs API functionality tests","tests.api.TestRunAPITest","addResultForCase"
"Verify a test run attachment can be retrieved","779","Verify a test run attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestRun"
"Verify project test cases can be retrieved","737","Verify project test cases can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Test cases API functionality tests","Test cases API functionality tests","tests.api.TestCaseAPITest","getTestCases"
"Verify an attachment can be added to a test case","3269","Verify an attachment can be added to a test case","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","addAttachmentToTestCase"
"Verify API authentication fails with invalid credentials","718","Verify API authentication fails with invalid credentials","Surefire suite","2026-07-18","passed","2026-07-18","API authentication functionality tests","API authentication functionality tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
"Verify a test case attachment can be deleted","2267","Verify a test case attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestCase"
"Verify an attachment can be added to a test run","2328","Verify an attachment can be added to a test run","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","addAttachmentToTestRun"
"Verify created sections can be deleted","2476","Verify created sections can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","deleteSections"
"Verify project test runs can be retrieved","3067","Verify project test runs can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Test runs API functionality tests","Test runs API functionality tests","tests.api.TestRunAPITest","getTestRuns"
"Verify a project can be created","826","Verify a project can be created","Surefire suite","2026-07-18","passed","2026-07-18","Projects API functionality tests","Projects API functionality tests","tests.api.ProjectAPITest","createProject"
"Verify a section can be moved into another section","2195","Verify a section can be moved into another section","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","moveSection"
"Verify the created project can be deleted","726","Verify the created project can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Projects API functionality tests","Projects API functionality tests","tests.api.ProjectAPITest","deleteProject"
"Verify a section can be updated","757","Verify a section can be updated","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","updateSection"
"Verify selection can be created","1215","Verify selection can be created","Surefire suite","2026-07-18","passed","2026-07-18","Sections functionality tests","Sections functionality tests","tests.api.SectionAPITest","checkCreateSection"
"Verify a test case attachment can be retrieved","817","Verify a test case attachment can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","retrieveAttachmentFromTestCase"
"Verify a test case title can be updated","781","Verify a test case title can be updated","Surefire suite","2026-07-18","passed","2026-07-18","Test cases API functionality tests","Test cases API functionality tests","tests.api.TestCaseAPITest","updateTestCase"
"Verify created test data can be deleted","1720","Verify created test data can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Test runs API functionality tests","Test runs API functionality tests","tests.api.TestRunAPITest","deleteTestRunData"
"Verify the created section with the test case can be deleted","740","Verify the created section with the test case can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Test cases API functionality tests","Test cases API functionality tests","tests.api.TestCaseAPITest","deleteTestCaseSection"
"Verify a test run attachment can be deleted","2358","Verify a test run attachment can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Attachments functionality tests","Attachments functionality tests","tests.api.AttachmentAPITest","deleteAttachmentFromTestRun"
"Verify test run results can be retrieved","854","Verify test run results can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Test runs API functionality tests","Test runs API functionality tests","tests.api.TestRunAPITest","getResultsForRun"
"Verify the projects list can be retrieved","1074","Verify the projects list can be retrieved","Surefire suite","2026-07-18","passed","2026-07-18","Projects API functionality tests","Projects API functionality tests","tests.api.ProjectAPITest","getProjects"
"Verify API authentication succeeds with valid credentials","3995","Verify API authentication succeeds with valid credentials","Surefire suite","2026-07-18","passed","2026-07-18","API authentication functionality tests","API authentication functionality tests","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
