"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create test suite","14723","Create test suite","Surefire suite","2026-07-18","passed","2026-07-18","Test suites functionality tests","Test suites functionality tests","tests.ui.TestSuiteTest","createSuiteTest"
"Open an existing test case","7954","Open an existing test case","Surefire suite","2026-07-18","passed","2026-07-18","Test cases functionality tests","Test cases functionality tests","tests.ui.TestCaseTest","openTestCaseTest"
"Compare results of two runs","36063","Compare results of two runs","Surefire suite","2026-07-18","passed","2026-07-18","Reports functionality tests","Reports functionality tests","tests.ui.ReportTest","compareRunsTest"
"Delete user group","10306","Verify group can be deleted","Surefire suite","2026-07-18","passed","2026-07-18","Group management functionality tests","Group management functionality tests","tests.ui.GroupTest","deleteGroupTest"
"Deactivate user","13014","Verify user can be deactivated","Surefire suite","2026-07-18","passed","2026-07-18","User management functionality tests","User management functionality tests","tests.ui.UserNRolesTest","deactivateUserTest"
"Login with valid credentials","6073","Login with valid credentials","Surefire suite","2026-07-18","passed","2026-07-18","Authentication functionality tests","Authentication functionality tests","tests.ui.LoginTest","loginTest"
"Create and then delete a project","12148","Create and then delete a project","Surefire suite","2026-07-18","passed","2026-07-18","Project management functionality tests","Project management functionality tests","tests.ui.ProjectsTest","createAndDeleteProjectTest"
"Create user","12306","Verify user can be created","Surefire suite","2026-07-18","passed","2026-07-18","User management functionality tests","User management functionality tests","tests.ui.UserNRolesTest","createUserTest"
"Close test run","26453","Close test run","Surefire suite","2026-07-18","passed","2026-07-18","Test runs functionality tests","Test runs functionality tests","tests.ui.TestRunTest","closeRunTest"
"Add passed result to a test","28141","Add passed result to a test","Surefire suite","2026-07-18","passed","2026-07-18","Test runs functionality tests","Test runs functionality tests","tests.ui.TestRunTest","addPassedResultTest"
"Check milestone data","21468","Verify milestone data is displayed","Surefire suite","2026-07-18","passed","2026-07-18","Milestones functionality tests","Milestones functionality tests","tests.ui.MilestoneTest","checkMilestoneDataTest"
"Log out from the application","6923","Log out from the application","Surefire suite","2026-07-18","passed","2026-07-18","Authentication functionality tests","Authentication functionality tests","tests.ui.LoginTest","logOutTest"
"Export run results to a file","36605","Export run results to a file","Surefire suite","2026-07-18","failed","2026-07-18","Reports functionality tests","Reports functionality tests","tests.ui.ReportTest","exportRunResultsTest"
"Create milestone","15818","Verify milestone can be created","Surefire suite","2026-07-18","passed","2026-07-18","Milestones functionality tests","Milestones functionality tests","tests.ui.MilestoneTest","createMilestoneTest"
"Move test case to another section via edit form","11627","Move test case to another section via edit form","Surefire suite","2026-07-18","passed","2026-07-18","Test cases functionality tests","Test cases functionality tests","tests.ui.TestCaseTest","moveTestCaseToSectionTest"
"Update milestone","22291","Verify milestone can be updated","Surefire suite","2026-07-18","passed","2026-07-18","Milestones functionality tests","Milestones functionality tests","tests.ui.MilestoneTest","updateMilestoneTest"
"Create user group","10516","Verify group can be created","Surefire suite","2026-07-18","passed","2026-07-18","Group management functionality tests","Group management functionality tests","tests.ui.GroupTest","createGroupTest"
